,"(deg C) Max Temperature (PRISM MONTHLY) at CMW, Jan 1950 to May 2022"
"1983-01-01",16.451
"1983-02-01",17.632
"1983-03-01",19.281
"1983-04-01",21.617
"1983-05-01",29.904
"1983-06-01",34.045
"1983-07-01",35.431
"1983-08-01",33.827
"1983-09-01",32.793
"1983-10-01",24.71
"1983-11-01",19.488
"1983-12-01",17.46
"1984-01-01",16.083
"1984-02-01",18.995
"1984-03-01",23.046
"1984-04-01",24.538
"1984-05-01",32.778
"1984-06-01",33.671
"1984-07-01",33.576
"1984-08-01",31.729
"1984-09-01",31.995
"1984-10-01",23.73
"1984-11-01",20.734
"1984-12-01",16.633
"1985-01-01",14.066
"1985-02-01",16.88
"1985-03-01",21.384
"1985-04-01",26.443
"1985-05-01",30.438
"1985-06-01",36.11
"1985-07-01",35.936
"1985-08-01",33.976
"1985-09-01",30.67
"1985-10-01",25.535
"1985-11-01",20.495
"1985-12-01",18.84
"1986-01-01",20.743
"1986-02-01",20.258
"1986-03-01",23.221
"1986-04-01",27.313
"1986-05-01",31.633
"1986-06-01",35.583
"1986-07-01",33.292
"1986-08-01",33.602
"1986-09-01",30.827
"1986-10-01",26.529
"1986-11-01",20.769
"1986-12-01",15.971
"1987-01-01",16.732
"1987-02-01",17.229
"1987-03-01",19.679
"1987-04-01",26.147
"1987-05-01",28.134
"1987-06-01",35.538
"1987-07-01",35.826
"1987-08-01",32.573
"1987-09-01",30.815
"1987-10-01",29.154
"1987-11-01",21.056
"1987-12-01",15.828
"1988-01-01",16.472
"1988-02-01",20.189
"1988-03-01",22.939
"1988-04-01",25.333
"1988-05-01",31.177
"1988-06-01",35.253
"1988-07-01",35.084
"1988-08-01",31.986
"1988-09-01",31.416
"1988-10-01",28.375
"1988-11-01",22.252
"1988-12-01",16.736
"1989-01-01",15.675
"1989-02-01",20.692
"1989-03-01",25.772
"1989-04-01",30.874
"1989-05-01",32.704
"1989-06-01",36.628
"1989-07-01",36.815
"1989-08-01",33.621
"1989-09-01",33.622
"1989-10-01",27.03
"1989-11-01",22.61
"1989-12-01",17.423
"1990-01-01",16.943
"1990-02-01",16.653
"1990-03-01",22.055
"1990-04-01",26.355
"1990-05-01",29.541
"1990-06-01",37.897
"1990-07-01",33.049
"1990-08-01",31.183
"1990-09-01",31.397
"1990-10-01",27.694
"1990-11-01",21.618
"1990-12-01",15.45
"1991-01-01",15.417
"1991-02-01",19.978
"1991-03-01",18.448
"1991-04-01",25.763
"1991-05-01",30.4
"1991-06-01",33.535
"1991-07-01",34.621
"1991-08-01",33.362
"1991-09-01",30.787
"1991-10-01",29.08
"1991-11-01",20.821
"1991-12-01",14.963
"1992-01-01",13.824
"1992-02-01",17.921
"1992-03-01",20.25
"1992-04-01",27.196
"1992-05-01",28.834
"1992-06-01",34.73
"1992-07-01",34.489
"1992-08-01",32.358
"1992-09-01",33.128
"1992-10-01",29.244
"1992-11-01",19.382
"1992-12-01",15.134
"1993-01-01",15.807
"1993-02-01",17.09
"1993-03-01",22.146
"1993-04-01",27.029
"1993-05-01",31.442
"1993-06-01",36.532
"1993-07-01",34.743
"1993-08-01",33.47
"1993-09-01",32.103
"1993-10-01",27.211
"1993-11-01",20.346
"1993-12-01",17.675
"1994-01-01",18.865
"1994-02-01",18.292
"1994-03-01",22.09
"1994-04-01",26.787
"1994-05-01",30.313
"1994-06-01",37.4
"1994-07-01",36.474
"1994-08-01",35.03
"1994-09-01",31.955
"1994-10-01",26.484
"1994-11-01",18.972
"1994-12-01",16.192
"1995-01-01",15.467
"1995-02-01",20.499
"1995-03-01",21.749
"1995-04-01",24.458
"1995-05-01",28.129
"1995-06-01",34.636
"1995-07-01",36.488
"1995-08-01",34.893
"1995-09-01",32.675
"1995-10-01",30.335
"1995-11-01",23.886
"1995-12-01",18.769
"1996-01-01",19.549
"1996-02-01",20.948
"1996-03-01",22.321
"1996-04-01",27.693
"1996-05-01",33.668
"1996-06-01",37.138
"1996-07-01",35.76
"1996-08-01",34.152
"1996-09-01",30.62
"1996-10-01",27.437
"1996-11-01",22.614
"1996-12-01",18.957
"1997-01-01",15.57
"1997-02-01",18.768
"1997-03-01",24.749
"1997-04-01",24.42
"1997-05-01",32.599
"1997-06-01",35.584
"1997-07-01",36.386
"1997-08-01",34.048
"1997-09-01",33.48
"1997-10-01",27.099
"1997-11-01",22.666
"1997-12-01",13.404
"1998-01-01",18.345
"1998-02-01",15.206
"1998-03-01",20.468
"1998-04-01",23.411
"1998-05-01",30.566
"1998-06-01",34.851
"1998-07-01",35.222
"1998-08-01",34.521
"1998-09-01",33.751
"1998-10-01",28.415
"1998-11-01",23.2
"1998-12-01",17.398
"1999-01-01",19.85
"1999-02-01",22.006
"1999-03-01",24.316
"1999-04-01",25.158
"1999-05-01",30.533
"1999-06-01",34.183
"1999-07-01",32.153
"1999-08-01",32.697
"1999-09-01",32.119
"1999-10-01",29.329
"1999-11-01",25.71
"1999-12-01",17.06
"2000-01-01",20.283
"2000-02-01",21.206
"2000-03-01",22.033
"2000-04-01",28.583
"2000-05-01",34.279
"2000-06-01",35.092
"2000-07-01",35.892
"2000-08-01",33.787
"2000-09-01",34.369
"2000-10-01",24.844
"2000-11-01",16.982
"2000-12-01",19.219
"2001-01-01",14.64
"2001-02-01",17.953
"2001-03-01",21.174
"2001-04-01",25.392
"2001-05-01",32.296
"2001-06-01",36.037
"2001-07-01",32.805
"2001-08-01",33.527
"2001-09-01",33.471
"2001-10-01",28.899
"2001-11-01",22.746
"2001-12-01",16.233
"2002-01-01",17.648
"2002-02-01",19.331
"2002-03-01",22.721
"2002-04-01",28.82
"2002-05-01",31.584
"2002-06-01",37.538
"2002-07-01",35.185
"2002-08-01",34.048
"2002-09-01",33.073
"2002-10-01",26.168
"2002-11-01",22.555
"2002-12-01",15.523
"2003-01-01",20.878
"2003-02-01",18.116
"2003-03-01",20.689
"2003-04-01",25.596
"2003-05-01",31.635
"2003-06-01",35.868
"2003-07-01",37.323
"2003-08-01",34.325
"2003-09-01",33.033
"2003-10-01",29.617
"2003-11-01",20.954
"2003-12-01",18.054
"2004-01-01",15.852
"2004-02-01",16.215
"2004-03-01",23.694
"2004-04-01",24.338
"2004-05-01",31.442
"2004-06-01",35.308
"2004-07-01",34.726
"2004-08-01",33.161
"2004-09-01",31.498
"2004-10-01",26.449
"2004-11-01",18.211
"2004-12-01",16.291
"2005-01-01",17.024
"2005-02-01",16.215
"2005-03-01",20.42
"2005-04-01",25.791
"2005-05-01",31.136
"2005-06-01",35.186
"2005-07-01",37.19
"2005-08-01",32.03
"2005-09-01",32.861
"2005-10-01",27.612
"2005-11-01",23.473
"2005-12-01",19.349
"2006-01-01",19.231
"2006-02-01",21.113
"2006-03-01",20.94
"2006-04-01",27.171
"2006-05-01",32.304
"2006-06-01",36.299
"2006-07-01",35.038
"2006-08-01",30.794
"2006-09-01",28.573
"2006-10-01",26.15
"2006-11-01",24.236
"2006-12-01",16.056
"2007-01-01",13.606
"2007-02-01",18.732
"2007-03-01",22.656
"2007-04-01",25.494
"2007-05-01",30.983
"2007-06-01",35.582
"2007-07-01",34.718
"2007-08-01",32.678
"2007-09-01",31.883
"2007-10-01",28.198
"2007-11-01",23.944
"2007-12-01",15.424
"2008-01-01",15.748
"2008-02-01",18.999
"2008-03-01",22.699
"2008-04-01",26.711
"2008-05-01",29.022
"2008-06-01",36.245
"2008-07-01",32.496
"2008-08-01",32.567
"2008-09-01",31.11
"2008-10-01",28.477
"2008-11-01",22.867
"2008-12-01",17.213
"2009-01-01",18.85
"2009-02-01",20.859
"2009-03-01",23.587
"2009-04-01",25.475
"2009-05-01",32.005
"2009-06-01",32.933
"2009-07-01",35.678
"2009-08-01",35.289
"2009-09-01",32.617
"2009-10-01",26.429
"2009-11-01",23.302
"2009-12-01",15.127
"2010-01-01",16.015
"2010-02-01",16.373
"2010-03-01",19.977
"2010-04-01",24.911
"2010-05-01",29.742
"2010-06-01",35.65
"2010-07-01",34.922
"2010-08-01",33.588
"2010-09-01",33.185
"2010-10-01",27.815
"2010-11-01",20.897
"2010-12-01",20.517
"2011-01-01",17.275
"2011-02-01",17.696
"2011-03-01",24.956
"2011-04-01",28.023
"2011-05-01",29.634
"2011-06-01",37.484
"2011-07-01",35.205
"2011-08-01",34.831
"2011-09-01",33.212
"2011-10-01",28.92
"2011-11-01",20.565
"2011-12-01",14.687
"2012-01-01",19.749
"2012-02-01",19.722
"2012-03-01",23.296
"2012-04-01",28.411
"2012-05-01",32.645
"2012-06-01",37.363
"2012-07-01",33.982
"2012-08-01",35.151
"2012-09-01",31.472
"2012-10-01",29.617
"2012-11-01",24.24
"2012-12-01",17.688
"2013-01-01",14.677
"2013-02-01",16.278
"2013-03-01",24.707
"2013-04-01",27.143
"2013-05-01",31.551
"2013-06-01",38.04
"2013-07-01",34.045
"2013-08-01",33.895
"2013-09-01",32.326
"2013-10-01",27.672
"2013-11-01",21.819
"2013-12-01",16.651
"2014-01-01",20.27
"2014-02-01",22.107
"2014-03-01",23.639
"2014-04-01",27.389
"2014-05-01",31.379
"2014-06-01",38.353
"2014-07-01",35.433
"2014-08-01",33.318
"2014-09-01",31.082
"2014-10-01",29.474
"2014-11-01",21.94
"2014-12-01",17.655
"2015-01-01",17.587
"2015-02-01",22.13
"2015-03-01",23.673
"2015-04-01",26.228
"2015-05-01",27.811
"2015-06-01",37.367
"2015-07-01",34.029
"2015-08-01",35.143
"2015-09-01",31.265
"2015-10-01",27.136
"2015-11-01",21.146
"2015-12-01",16.33
"2016-01-01",16.663
"2016-02-01",22.833
"2016-03-01",25.157
"2016-04-01",25.816
"2016-05-01",30.228
"2016-06-01",36.365
"2016-07-01",35.541
"2016-08-01",33.443
"2016-09-01",30.705
"2016-10-01",30.958
"2016-11-01",22.793
"2016-12-01",18.416
"2017-01-01",16.287
"2017-02-01",20.955
"2017-03-01",26.496
"2017-04-01",28.263
"2017-05-01",31.168
"2017-06-01",38.174
"2017-07-01",34.554
"2017-08-01",33.865
"2017-09-01",32.832
"2017-10-01",31.095
"2017-11-01",26.708
"2017-12-01",18.924
"2018-01-01",20.396
"2018-02-01",20.305
"2018-03-01",23.134
"2018-04-01",30.059
"2018-05-01",32.904
"2018-06-01",37.101
"2018-07-01",35.508
"2018-08-01",34.081
"2018-09-01",33.742
"2018-10-01",24.888
"2018-11-01",21.567
"2018-12-01",16.782
"2019-01-01",16.576
"2019-02-01",15.74
"2019-03-01",22.384
"2019-04-01",26.662
"2019-05-01",27.569
"2019-06-01",36.622
"2019-07-01",37.355
"2019-08-01",36.071
"2019-09-01",32.468
"2019-10-01",28.228
"2019-11-01",22.117
"2019-12-01",16.258
"2020-01-01",17.937
"2020-02-01",18.244
"2020-03-01",20.516
"2020-04-01",26.822
"2020-05-01",33.657
"2020-06-01",37.229
"2020-07-01",36.467
"2020-08-01",38.395
"2020-09-01",34.478
"2020-10-01",32.158
"2020-11-01",24.622
"2020-12-01",17.326
"2021-01-01",16.9691
"2021-02-01",20.0936
"2021-03-01",21.1559
"2021-04-01",27.8414
"2021-05-01",32.5257
"2021-06-01",38.3893
"2021-07-01",34.2316
"2021-08-01",33.9781
"2021-09-01",32.5226
"2021-10-01",28.2853
"2021-11-01",25.3156
"2021-12-01",20.1034
"2022-01-01",17.2165
"2022-02-01",18.3043
"2022-03-01",22.1965
"2022-04-01",28.667
"2022-05-01",32.3093
